text,label
"Mera old ration card kho gaya hai, duplicate kaise milega? Rahul.",ration
"Sunita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Anita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Priya hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Sunita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card update karna hai, Neha bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Karan.",ration
"Arjun bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Deepak bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card address change karna hai, Rajesh bol raha/rahi hu.",ration
"Kavita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mere family members ration card me add karne hai, Vikas speaking.",ration
"Amit hu, ration card download kaise karte hain?",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Manoj.",ration
"Mere family members ration card me add karne hai, Ritu speaking.",ration
"Ravi bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card address change karna hai, Seema bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Priya speaking.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Suresh.",ration
"Kavita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Sunita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card update karna hai, Amit bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Neha.",ration
"Karan yahan, mera ration card list me naam add nahi hua hai.",ration
"Suresh hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Rahul hu, ration card download kaise karte hain?",ration
"Deepak yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Pooja bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Ravi speaking.",ration
"Suresh hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Deepak bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Kavita bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Sunita.",ration
"Deepak hu, ration card download kaise karte hain?",ration
"Ravi hu, ration card download kaise karte hain?",ration
"Anita hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Priya.",ration
"Nisha yahan, mera ration card list me naam add nahi hua hai.",ration
"Sunita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Priya bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Manoj yahan, mera ration card list me naam add nahi hua hai.",ration
"Kavita bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Amit yahan, mera ration card list me naam add nahi hua hai.",ration
"Deepak hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Suresh hu, ration card download kaise karte hain?",ration
"Arjun bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Suresh.",ration
"Mera ration card address change karna hai, Amit bol raha/rahi hu.",ration
"Sunita yahan, mera ration card list me naam add nahi hua hai.",ration
"Sunita hu, ration card download kaise karte hain?",ration
"Deepak bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mere family members ration card me add karne hai, Manoj speaking.",ration
"Mera ration card update karna hai, Arjun bol raha/rahi hu.",ration
"Priya hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Meena hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card update karna hai, Seema bol raha/rahi hu.",ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Arjun.",ration
"Mere family members ration card me add karne hai, Manoj speaking.",ration
Ration card ka status kaise check karu? Anita puch raha/rahi hu.,ration
"Ravi yahan, mera ration card list me naam add nahi hua hai.",ration
"Nisha bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Mera ration card address change karna hai, Ritu bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Suresh speaking.",ration
"Ravi hu, ration card download kaise karte hain?",ration
Ration card ka status kaise check karu? Neha puch raha/rahi hu.,ration
Ration card ka status kaise check karu? Neha puch raha/rahi hu.,ration
"Mera old ration card kho gaya hai, duplicate kaise milega? Rahul.",ration
"Sunita hu, ration card download kaise karte hain?",ration
"Mera ration card update karna hai, Neha bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Manoj.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Nisha.",ration
"Mera ration card address change karna hai, Amit bol raha/rahi hu.",ration
"Ration shop se pura ration nahi mil raha, complaint karni hai, Amit.",ration
"Mere family members ration card me add karne hai, Arjun speaking.",ration
"Seema yahan, mera ration card list me naam add nahi hua hai.",ration
"Mera ration card update karna hai, Karan bol raha/rahi hu.",ration
"Mere family members ration card me add karne hai, Suresh speaking.",ration
"Mere family members ration card me add karne hai, Karan speaking.",ration
"Mera ration card update karna hai, Vikas bol raha/rahi hu.",ration
Ration card ka status kaise check karu? Neha puch raha/rahi hu.,ration
"Mera ration card address change karna hai, Amit bol raha/rahi hu.",ration
"Rajesh hu, ration card download kaise karte hain?",ration
"Pooja hu, ration card download kaise karte hain?",ration
"Mere family members ration card me add karne hai, Seema speaking.",ration
"Rahul hu, ration card download kaise karte hain?",ration
"Meena bol raha/rahi hu, ration card se naam remove karna hai.",ration
"Amit hu, mera ration card apply kiya tha par abhi tak mila nahi.",ration
"Mera ration card address change karna hai, Rahul bol raha/rahi hu.",ration
"Mera ration card address change karna hai, Nisha bol raha/rahi hu.",ration
"Mera ration card update karna hai, Rahul bol raha/rahi hu.",ration
"Mera ration card update karna hai, Seema bol raha/rahi hu.",ration
"Rahul hu, ration card download kaise karte hain?",ration
"Mere family members ration card me add karne hai, Arjun speaking.",ration
